"host_type","country","NUTS_ID","iso_year","season2","year_c","event","lag_weeks","mig_sc","water_sc","poul_sc"
"captive","AL","AL034",2015,"autumn",-5,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2015,"spring",-5,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2016,"autumn",-4,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2016,"spring",-4,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2017,"autumn",-3,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2017,"spring",-3,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2018,"autumn",-2,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2018,"spring",-2,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2019,"autumn",-1,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2019,"spring",-1,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2020,"autumn",0,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2020,"spring",0,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2021,"autumn",1,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2021,"spring",1,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2022,"autumn",2,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2022,"spring",2,TRUE,7,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2023,"autumn",3,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2023,"spring",3,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2024,"autumn",4,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2024,"spring",4,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2025,"autumn",5,FALSE,NA,-0.430758723939714,0.790028680551735,-0.232414761720429
"captive","AL","AL034",2025,"spring",5,FALSE,NA,-0.440425741556843,0.790028680551735,-0.232414761720429
"captive","AT","AT112",2015,"autumn",-5,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2015,"spring",-5,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2016,"autumn",-4,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2016,"spring",-4,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2017,"autumn",-3,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2017,"spring",-3,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2018,"autumn",-2,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2018,"spring",-2,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2019,"autumn",-1,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2019,"spring",-1,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2020,"autumn",0,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2020,"spring",0,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2021,"autumn",1,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2021,"spring",1,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2022,"autumn",2,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2022,"spring",2,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2023,"autumn",3,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2023,"spring",3,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2024,"autumn",4,FALSE,NA,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2024,"spring",4,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2025,"autumn",5,TRUE,1,-0.397801628743848,-0.681673277155668,-0.232414761720429
"captive","AT","AT112",2025,"spring",5,FALSE,NA,-0.428471153684696,-0.681673277155668,-0.232414761720429
"captive","AT","AT113",2015,"autumn",-5,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2015,"spring",-5,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2016,"autumn",-4,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2016,"spring",-4,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2017,"autumn",-3,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2017,"spring",-3,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2018,"autumn",-2,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2018,"spring",-2,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2019,"autumn",-1,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2019,"spring",-1,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2020,"autumn",0,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2020,"spring",0,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2021,"autumn",1,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2021,"spring",1,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2022,"autumn",2,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2022,"spring",2,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2023,"autumn",3,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2023,"spring",3,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2024,"autumn",4,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2024,"spring",4,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2025,"autumn",5,FALSE,NA,-0.397801628743848,1.39903672861644,-0.232414761720429
"captive","AT","AT113",2025,"spring",5,FALSE,NA,-0.428471153684696,1.39903672861644,-0.232414761720429
"captive","AT","AT121",2015,"autumn",-5,FALSE,NA,-0.397801628743848,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2015,"spring",-5,FALSE,NA,-0.428471153684696,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2016,"autumn",-4,FALSE,NA,-0.397801628743848,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2016,"spring",-4,FALSE,NA,-0.428471153684696,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2017,"autumn",-3,FALSE,NA,-0.397801628743848,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2017,"spring",-3,FALSE,NA,-0.428471153684696,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2018,"autumn",-2,FALSE,NA,-0.397801628743848,-0.825470387994863,-0.232414761720429
"captive","AT","AT121",2018,"spring",-2,FALSE,NA,-0.428471153684696,-0.825470387994863,-0.232414761720429
