"country_code","macro_region"
"AL","Southern"
"AT","Western"
"BE","Western"
"BG","Eastern"
"CH","Western"
"CY","Southern"
"CZ","Eastern"
"DE","Western"
"DK","Northern"
"EE","Northern"
"ES","Southern"
"FI","Northern"
"FR","Western"
"HR","Southern"
"HU","Eastern"
"IE","Northern"
"IS","Northern"
"IT","Southern"
"LT","Northern"
"LU","Western"
"LV","Northern"
"ME","Southern"
"MK","Southern"
"NL","Western"
"NO","Northern"
"PL","Eastern"
"PT","Southern"
"RO","Eastern"
"RS","Southern"
"SE","Northern"
"SI","Southern"
"SK","Eastern"
