"Host","iso_year","observations","outbreak_region_weeks","proportion","percent"
"Poultry",2015,32796,20,0.000609830467130138,0.0609830467130138
"Poultry",2016,32796,98,0.00298816928893768,0.298816928893768
"Poultry",2017,32796,165,0.00503110135382364,0.503110135382364
"Poultry",2018,32796,22,0.000670813513843152,0.0670813513843152
"Poultry",2019,32796,2,6.09830467130138e-05,0.00609830467130138
"Poultry",2020,32796,94,0.00286620319551165,0.286620319551165
"Poultry",2021,32796,445,0.0135687278936456,1.35687278936456
"Poultry",2022,32796,550,0.0167703378460788,1.67703378460788
"Poultry",2023,32796,206,0.00628125381144042,0.628125381144042
"Poultry",2024,32796,216,0.00658616904500549,0.658616904500549
"Poultry",2025,32796,439,0.0133857787535065,1.33857787535065
"Wild birds",2015,32796,4,0.000121966093426028,0.0121966093426028
"Wild birds",2016,32796,213,0.00649469447493597,0.649469447493597
"Wild birds",2017,32796,295,0.00899499939016953,0.899499939016953
"Wild birds",2018,32796,42,0.00128064398097329,0.128064398097329
"Wild birds",2019,32796,0,0,0
"Wild birds",2020,32796,230,0.00701305037199659,0.701305037199659
"Wild birds",2021,32796,910,0.0277472862544213,2.77472862544213
"Wild birds",2022,32796,986,0.0300646420295158,3.00646420295158
"Wild birds",2023,32796,1055,0.0321685571411148,3.21685571411148
"Wild birds",2024,32796,493,0.0150323210147579,1.50323210147579
"Wild birds",2025,32796,1630,0.0497011830711062,4.97011830711062
