"Host","risk_decile","observations","events","mean_predicted_probability","observed_probability"
"Wild birds",1,36076,0,1.53672571057346e-06,0
"Wild birds",2,36076,9,0.000118059810447173,0.000249473334072514
"Wild birds",3,36076,43,0.000923427466260778,0.00119192815167979
"Wild birds",4,36076,172,0.00313624551228766,0.00476771260671915
"Wild birds",5,36076,261,0.00482111841437253,0.00723472668810289
"Wild birds",6,36076,543,0.00669109347383968,0.015051557822375
"Wild birds",7,36075,538,0.011073763929514,0.0149133749133749
"Wild birds",8,36075,891,0.0180783242536382,0.0246985446985447
"Wild birds",9,36075,1411,0.0240240728997122,0.0391129591129591
"Wild birds",10,36075,1990,0.0437432436824234,0.0551628551628552
"Poultry",1,36076,2,1.51913641155406e-05,5.54385186827808e-05
"Poultry",2,36076,13,0.000114128772838409,0.000360350371438075
"Poultry",3,36076,31,0.000202079659546613,0.000859297039583102
"Poultry",4,36076,51,0.000513142015935156,0.00141368222641091
"Poultry",5,36076,105,0.000860410449097068,0.00291052223084599
"Poultry",6,36076,278,0.00126376340287116,0.00770595409690653
"Poultry",7,36075,188,0.00174681854390219,0.00521136521136521
"Poultry",8,36075,314,0.00247721873151712,0.0087040887040887
"Poultry",9,36075,484,0.00403905237855157,0.0134164934164934
"Poultry",10,36075,791,0.00573188055021116,0.0219265419265419
