"Host","risk_decile","observations","events","observed_risk","baseline_risk","enrichment"
"Wild birds",1,36076,0,0,0.0162381221656743,0
"Wild birds",2,36076,9,0.000249473334072514,0.0162381221656743,0.0153634349789457
"Wild birds",3,36076,43,0.00119192815167979,0.0162381221656743,0.0734030782327404
"Wild birds",4,36076,172,0.00476771260671915,0.0162381221656743,0.293612312930962
"Wild birds",5,36076,261,0.00723472668810289,0.0162381221656743,0.445539614389424
"Wild birds",6,36076,543,0.015051557822375,0.0162381221656743,0.926927243729722
"Wild birds",7,36075,538,0.0149133749133749,0.0162381221656743,0.918417459926507
"Wild birds",8,36075,891,0.0246985446985447,0.0162381221656743,1.52102222452513
"Wild birds",9,36075,1411,0.0391129591129591,0.0162381221656743,2.40871196274406
"Wild birds",10,36075,1990,0.0551628551628552,0.0162381221656743,3.39712034433783
"Poultry",1,36076,2,5.54385186827808e-05,0.00625630620142146,0.00886122208503556
"Poultry",2,36076,13,0.000360350371438075,0.00625630620142146,0.0575979435527312
"Poultry",3,36076,31,0.000859297039583102,0.00625630620142146,0.137348942318051
"Poultry",4,36076,51,0.00141368222641091,0.00625630620142146,0.225961163168407
"Poultry",5,36076,105,0.00291052223084599,0.00625630620142146,0.465214159464367
"Poultry",6,36076,278,0.00770595409690653,0.00625630620142146,1.23170986981994
"Poultry",7,36075,188,0.00521136521136521,0.00625630620142146,0.832977965525595
"Poultry",8,36075,314,0.0087040887040887,0.00625630620142146,1.39125043178211
"Poultry",9,36075,484,0.0134164934164934,0.00625630620142146,2.14447518784249
"Poultry",10,36075,791,0.0219265419265419,0.00625630620142146,3.50471048261035
