"season2","wso","n_region_weeks","n_outbreaks","outbreak_probability","Season"
"autumn",-5,7821,25,0.00319652218386396,"Autumn"
"autumn",-4,8503,42,0.00493943314124427,"Autumn"
"autumn",-3,9240,51,0.00551948051948052,"Autumn"
"autumn",-2,9482,48,0.00506222315967096,"Autumn"
"autumn",-1,9482,63,0.00664416789706813,"Autumn"
"autumn",0,10021,102,0.0101786248877358,"Autumn"
"autumn",1,10021,137,0.0136712902903902,"Autumn"
"autumn",2,10021,139,0.0138708711705419,"Autumn"
"autumn",3,10021,255,0.0254465622193394,"Autumn"
"autumn",4,10021,322,0.0321325217044207,"Autumn"
"autumn",5,10021,314,0.031334198183814,"Autumn"
"autumn",6,10021,329,0.0328310547849516,"Autumn"
"autumn",7,10021,260,0.0259455144197186,"Autumn"
"autumn",8,8921,209,0.0234278668310728,"Autumn"
"autumn",9,8800,205,0.0232954545454545,"Autumn"
"autumn",10,7887,160,0.0202865474832002,"Autumn"
"autumn",11,6908,153,0.0221482339316734,"Autumn"
"autumn",12,6325,98,0.0154940711462451,"Autumn"
"spring",-5,473,12,0.025369978858351,"Spring"
"spring",-4,572,12,0.020979020979021,"Spring"
"spring",-3,1397,35,0.0250536864710093,"Spring"
"spring",-2,1397,32,0.0229062276306371,"Spring"
"spring",-1,1408,42,0.0298295454545455,"Spring"
"spring",0,10021,292,0.0291388085021455,"Spring"
"spring",1,10021,282,0.0281409041013871,"Spring"
"spring",2,10021,270,0.026943418820477,"Spring"
"spring",3,10021,238,0.0237501247380501,"Spring"
"spring",4,9999,261,0.0261026102610261,"Spring"
"spring",5,9999,208,0.0208020802080208,"Spring"
"spring",6,9999,187,0.0187018701870187,"Spring"
"spring",7,9944,135,0.0135760257441673,"Spring"
"spring",8,9889,114,0.011527960359996,"Spring"
"spring",9,9548,86,0.00900712191034772,"Spring"
"spring",10,9449,73,0.00772568525769923,"Spring"
"spring",11,8624,52,0.00602968460111317,"Spring"
"spring",12,8624,42,0.00487012987012987,"Spring"
