"season2","wso","n_region_weeks","n_outbreaks","outbreak_probability"
"autumn",-5,7821,25,0.00319652218386396
"autumn",-4,8503,42,0.00493943314124427
"autumn",-3,9240,51,0.00551948051948052
"autumn",-2,9482,48,0.00506222315967096
"autumn",-1,9482,63,0.00664416789706813
"autumn",0,10021,102,0.0101786248877358
"autumn",1,10021,137,0.0136712902903902
"autumn",2,10021,139,0.0138708711705419
"autumn",3,10021,255,0.0254465622193394
"autumn",4,10021,322,0.0321325217044207
"autumn",5,10021,314,0.031334198183814
"autumn",6,10021,329,0.0328310547849516
"autumn",7,10021,260,0.0259455144197186
"autumn",8,8921,209,0.0234278668310728
"autumn",9,8800,205,0.0232954545454545
"autumn",10,7887,160,0.0202865474832002
"autumn",11,6908,153,0.0221482339316734
"autumn",12,6325,98,0.0154940711462451
"spring",-5,473,12,0.025369978858351
"spring",-4,572,12,0.020979020979021
"spring",-3,1397,35,0.0250536864710093
"spring",-2,1397,32,0.0229062276306371
"spring",-1,1408,42,0.0298295454545455
"spring",0,10021,292,0.0291388085021455
"spring",1,10021,282,0.0281409041013871
"spring",2,10021,270,0.026943418820477
"spring",3,10021,238,0.0237501247380501
"spring",4,9999,261,0.0261026102610261
"spring",5,9999,208,0.0208020802080208
"spring",6,9999,187,0.0187018701870187
"spring",7,9944,135,0.0135760257441673
"spring",8,9889,114,0.011527960359996
"spring",9,9548,86,0.00900712191034772
"spring",10,9449,73,0.00772568525769923
"spring",11,8624,52,0.00602968460111317
"spring",12,8624,42,0.00487012987012987
