"iso_week","host_type","prop","Host"
5,"captive",0.00967967268735655,"Poultry"
5,"wild",0.0280411136613112,"Wild birds"
6,"captive",0.00888134916674983,"Poultry"
6,"wild",0.0284402754216146,"Wild birds"
7,"captive",0.00868176828659814,"Poultry"
7,"wild",0.0272427901407045,"Wild birds"
8,"captive",0.00888134916674983,"Poultry"
8,"wild",0.0247480291388085,"Wild birds"
9,"captive",0.00868176828659814,"Poultry"
9,"wild",0.0274423710208562,"Wild birds"
10,"captive",0.00638658816485381,"Poultry"
10,"wild",0.02255263945714,"Wild birds"
11,"captive",0.00598742640455044,"Poultry"
11,"wild",0.0190599740544856,"Wild birds"
12,"captive",0.00698533080530885,"Poultry"
12,"wild",0.0155673086518312,"Wild birds"
13,"captive",0.00518910288394372,"Poultry"
13,"wild",0.0117752719289492,"Wild birds"
14,"captive",0.00439077936333699,"Poultry"
14,"wild",0.00918072048697735,"Wild birds"
15,"captive",0.00469015068356451,"Poultry"
15,"wild",0.00748428300568806,"Wild birds"
16,"captive",0.00469015068356451,"Poultry"
16,"wild",0.00708512124538469,"Wild birds"
17,"captive",0.00309350364235106,"Poultry"
17,"wild",0.00638658816485381,"Wild birds"
18,"captive",0.00239497056182018,"Poultry"
18,"wild",0.00578784552439876,"Wild birds"
31,"captive",0.000698533080530885,"Poultry"
31,"wild",0.00449056980341283,"Wild birds"
32,"captive",0.000698533080530885,"Poultry"
32,"wild",0.00399161760303363,"Wild birds"
33,"captive",0.000798323520606726,"Poultry"
33,"wild",0.00369224628280611,"Wild birds"
34,"captive",0.00119748528091009,"Poultry"
34,"wild",0.00528889332401956,"Wild birds"
35,"captive",0.00149685660113761,"Poultry"
35,"wild",0.00369224628280611,"Wild birds"
36,"captive",0.00189601836144097,"Poultry"
36,"wild",0.00429098892326115,"Wild birds"
37,"captive",0.00189601836144097,"Poultry"
37,"wild",0.00469015068356451,"Wild birds"
38,"captive",0.0021953896816685,"Poultry"
38,"wild",0.0048897315637162,"Wild birds"
39,"captive",0.00289392276219938,"Poultry"
39,"wild",0.00528889332401956,"Wild birds"
40,"captive",0.00379203672288195,"Poultry"
40,"wild",0.00459036024348867,"Wild birds"
41,"captive",0.00449056980341283,"Poultry"
41,"wild",0.00828260652629478,"Wild birds"
42,"captive",0.00668595948508133,"Poultry"
42,"wild",0.01127631972857,"Wild birds"
43,"captive",0.00748428300568806,"Poultry"
43,"wild",0.0249476100189602,"Wild birds"
44,"captive",0.00918072048697735,"Poultry"
44,"wild",0.036323720187606,"Wild birds"
45,"captive",0.00898113960682567,"Poultry"
45,"wild",0.0378205767887436,"Wild birds"
46,"captive",0.0123740145694043,"Poultry"
46,"wild",0.0383195289891228,"Wild birds"
47,"captive",0.011875062369025,"Poultry"
47,"wild",0.0311346173036623,"Wild birds"
48,"captive",0.0119748528091009,"Poultry"
48,"wild",0.0272427901407045,"Wild birds"
49,"captive",0.010677577088115,"Poultry"
49,"wild",0.0270432092605528,"Wild birds"
50,"captive",0.0119748528091009,"Poultry"
50,"wild",0.0221534776968366,"Wild birds"
51,"captive",0.0128729667697835,"Poultry"
51,"wild",0.0199580880151681,"Wild birds"
52,"captive",0.0104779962079633,"Poultry"
52,"wild",0.0143698233709211,"Wild birds"
