"model","term","beta","SE","z","p","IRR","IRR_low","IRR_high"
"Migration-relative timing","(Intercept)",-7.72022489498778,0.415697402164266,-18.5717419805695,5.4408807177281e-77,0.000443760793101679,0.000196474711086757,0.00100228492717964
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)1",1.22675214945828,0.18634476394671,6.58323917171669,4.60307766461717e-11,3.41013591904406,2.36676282163837,4.91347374567275
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)2",1.8896174375557,0.16083340394489,11.7489115520006,7.15343025365807e-32,6.61683684350457,4.82779459748336,9.06884684704328
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)3",1.47976595480848,0.38098666611744,3.88403607372532,0.000102736654792146,4.39191765341266,2.08141054524559,9.26724461851988
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)4",1.48020961070086,0.153310865821936,9.65495565343724,4.68361876603702e-22,4.39386658585416,3.25348209050235,5.93396952472691
"Migration-relative timing","seasonspring",1.89818986317211,0.20027320983138,9.47800189935685,2.59198569563484e-21,6.6738030054011,4.50713449596102,9.88203183082602
"Migration-relative timing","host_typewild",0.313274257622335,0.201689879269886,1.55324728616222,0.120364068439804,1.3678966356665,0.921243729704307,2.03110332861458
"Migration-relative timing","year_c",0.250336187984144,0.0109313759292907,22.9007024919312,4.57189030758141e-116,1.28445716317409,1.25723024723807,1.31227371251499
"Migration-relative timing","macro_regionNorthern",-0.0405198082051188,0.512979244079244,-0.0789891767996355,0.937041231827309,0.960290142698899,0.351361155513913,2.62452790723521
"Migration-relative timing","macro_regionSouthern",-2.33873346106936,0.496089733646783,-4.71433553739804,2.42500776215195e-06,0.0964497182276239,0.0364777981941654,0.255019453111509
"Migration-relative timing","macro_regionWestern",-0.412700212066937,0.523385802169203,-0.78852007516535,0.430392560735425,0.661860670931697,0.237279256425994,1.84617717673431
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)1:seasonspring",-2.05490721864652,0.237643127937342,-8.64702984042665,5.28571520582139e-18,0.128104720755541,0.0804049778965876,0.204102033346265
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)2:seasonspring",-2.25627505254251,0.224576446674433,-10.0468018171711,9.48973091607726e-24,0.104739909671036,0.0674454065772291,0.162656720963421
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)3:seasonspring",-3.11494939431665,0.491230730119272,-6.34111264488753,2.28111670618314e-10,0.044380753008995,0.0169456530809064,0.116233421529486
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)4:seasonspring",-2.954711220509,0.210385664981069,-14.0442611466655,8.35350471665131e-45,0.052093701996781,0.0344909072816604,0.078680266818391
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)1:host_typewild",1.7647966492772,0.230618625281,7.65244631532628,1.97191441659713e-14,5.84038459089546,3.71653747878387,9.17792229038159
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)2:host_typewild",0.0191611070839371,0.20360073175061,0.0941111896759165,0.925020831758487,1.01934585922821,0.6839373258902,1.51924151730317
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)3:host_typewild",0.197344697360638,0.478509055514474,0.412415805064465,0.680034680619728,1.21816386621489,0.476867875168481,3.11181205994915
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)4:host_typewild",0.157635389285982,0.192047693259881,0.820813760427044,0.411752359348058,1.17073925280371,0.803505561032451,1.70581320718455
"Migration-relative timing","seasonspring:host_typewild",0.0638734035919712,0.255619994343866,0.249876398581119,0.802682935566482,1.06595744383578,0.645885794808638,1.75923558189658
"Migration-relative timing","host_typewild:year_c",0.159901011934046,0.0101507059582831,15.7526986390109,6.58118559181251e-56,1.17339471316953,1.15028069343287,1.19697319163477
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)1:seasonspring:host_typewild",-0.594278090412303,0.295573542569963,-2.01059298219033,0.0443684659303854,0.551960887931304,0.309254230283555,0.985146820874754
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)2:seasonspring:host_typewild",-0.684803818290189,0.287651132546137,-2.38067485508805,0.01728095748022,0.504189132559123,0.286909145887181,0.886018047994473
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)3:seasonspring:host_typewild",0.146320501154044,0.620795017982087,0.235698575078233,0.813666575670418,1.15756713020504,0.342866069543179,3.90811975858808
"Migration-relative timing","ns(weeks_since_mig_onset, df = 4)4:seasonspring:host_typewild",-0.19477581941678,0.265711969948673,-0.733033665944384,0.463537896287325,0.823019142287674,0.488917404475187,1.3854293227688
