"model","term","beta","SE","z","p","IRR","IRR_low","IRR_high"
"Migration intensity","(Intercept)",-7.11205640422742,0.301614474346222,-23.5799572273296,6.18913963481207e-123,0.000815216851848645,0.000451375978223065,0.00147233913101505
"Migration intensity","mig_intensity_sc",0.202514249216431,0.0233364462653389,8.6780243621421,4.02702792578858e-18,1.22447753284299,1.16973316068682,1.28178398187574
"Migration intensity","seasonspring",0.141622676930476,0.0503979517563259,2.8100879499076,0.00495279635047956,1.15214183681552,1.04377558201077,1.27175882921445
"Migration intensity","host_typewild",0.872767032907626,0.0483731646706276,18.0423802918475,9.05579597399175e-73,2.39352466049445,2.17702087770984,2.63155965064595
"Migration intensity","year_c",0.240453575684773,0.0118129527757278,20.3550780444019,4.18583640821246e-92,1.27182588881267,1.24271762392669,1.30161595869469
"Migration intensity","macro_regionNorthern",0.384758280325014,0.404877378385661,0.950308169498464,0.341955689034393,1.46925912967516,0.664455879570472,3.24885738317085
"Migration intensity","macro_regionSouthern",-1.82447603935828,0.387959573894446,-4.70274781736583,2.56683379721438e-06,0.16130213796384,0.0754064222663729,0.345041959686084
"Migration intensity","macro_regionWestern",0.0767845891855702,0.402009761479121,0.191001802799652,0.848524180731047,1.07980944870547,0.491084010628656,2.37431563699452
"Migration intensity","mig_intensity_sc:seasonspring",-0.209767420836348,0.0408981627385527,-5.12901819520149,2.91257194091267e-07,0.810772792901378,0.748318681586135,0.878439277121584
"Migration intensity","mig_intensity_sc:host_typewild",0.0147269043116987,0.0274642201208147,0.536221463668558,0.591805501187301,1.01483587946539,0.961652636744232,1.07096036853504
"Migration intensity","seasonspring:host_typewild",-0.177937215493556,0.0624563959684736,-2.84898308226709,0.00438592125937783,0.836994972155352,0.740559348327663,0.945988441028192
"Migration intensity","mig_intensity_sc:year_c",0.019963041093106,0.00615187806695737,3.24503198467642,0.00117437432173472,1.02016363519719,1.00793691326563,1.03253867269018
"Migration intensity","host_typewild:year_c",0.177439040513816,0.0115031197667109,15.4252971465455,1.10644728438903e-53,1.19415526059253,1.16753342542007,1.22138412087666
"Migration intensity","mig_intensity_sc:seasonspring:host_typewild",0.320731020975473,0.0504394594022392,6.35873232537529,2.03425535046321e-10,1.37813484167007,1.24841094318895,1.52133850811459
"Migration intensity","mig_intensity_sc:host_typewild:year_c",0.00584098424318353,0.00747711716831443,0.781181317839408,0.434695860021675,1.00585807605311,0.991224832400901,1.02070734720259
