"season","host_type","year_c","beta","SE","df","beta_low","beta_high","iso_year","IRR","IRR_low","IRR_high","Season","Host"
"autumn","captive",-4.99433831475517,0.1028120682061,0.0444903524976778,Inf,0.0156125796511596,0.19001155676104,2015,1.1082831078708,1.01573509272416,1.20926357274664,"Autumn","Poultry"
"spring","captive",-4.99433831475517,-0.106955352630249,0.0571312636650391,Inf,-0.218930571804987,0.0050198665444898,2015,0.898565790693827,0.803377493266693,1.00503248718369,"Spring","Poultry"
"autumn","wild",-4.99433831475517,0.0883671211161857,0.0427807765201662,Inf,0.00451833990600309,0.172215902326368,2015,1.09238908752336,1.00452856299509,1.18793428330416,"Autumn","Wild birds"
"spring","wild",-4.99433831475517,0.199330721255311,0.0464703939124081,Inf,0.108250422839602,0.29041101967102,2015,1.22058557274835,1.11432676332109,1.33697689891355,"Spring","Wild birds"
"autumn","captive",-3.99433831475517,0.122775109299206,0.0392547789174611,Inf,0.0458371563998997,0.199713062198512,2016,1.13063012415311,1.04690391547271,1.22105234181426,"Autumn","Poultry"
"spring","captive",-3.99433831475517,-0.0869923115371426,0.0527640431463772,Inf,-0.190407935782759,0.0164233127084742,2016,0.916684143498048,0.826621856520189,1.01655891664682,"Spring","Poultry"
"autumn","wild",-3.99433831475517,0.114171146452475,0.0379610585449275,Inf,0.0397688388894009,0.188573454015549,2016,1.1209439540494,1.04057020702386,1.20752577734632,"Autumn","Wild birds"
"spring","wild",-3.99433831475517,0.2251347465916,0.0420946909279577,Inf,0.142630668432458,0.307638824750742,2016,1.25249147377895,1.15330377150788,1.36020962615768,"Spring","Wild birds"
"autumn","captive",-2.99433831475517,0.142738150392312,0.0343245550277246,Inf,0.0754632587526082,0.210013042032015,2017,1.15342773751948,1.07838360583133,1.23369414973042,"Autumn","Poultry"
"spring","captive",-2.99433831475517,-0.0670292704440366,0.0487831776111676,Inf,-0.162642541613346,0.0285840007252726,2017,0.935167828158587,0.849894936195478,1.02899644365183,"Spring","Poultry"
"autumn","wild",-2.99433831475517,0.139975171788765,0.0335055912991576,Inf,0.0743054195616973,0.205644924015832,2017,1.15024523997091,1.07713573358677,1.2283169806929,"Autumn","Wild birds"
"spring","wild",-2.99433831475517,0.25093877192789,0.038146612622066,Inf,0.17617278505644,0.32570475879934,2017,1.28523138968185,1.19264411192889,1.38500639755143,"Spring","Wild birds"
"autumn","captive",-1.99433831475517,0.162701191485418,0.0298513600250519,Inf,0.104193600946777,0.221208782024058,2018,1.17668503364514,1.10981529541019,1.24758387646182,"Autumn","Poultry"
"spring","captive",-1.99433831475517,-0.0470662293509306,0.0452906590152331,Inf,-0.135834289856872,0.0417018311550105,2018,0.954024211093721,0.872987283351004,1.04258356646307,"Spring","Poultry"
"autumn","wild",-1.99433831475517,0.165779197125054,0.0295794335143987,Inf,0.107804572753736,0.223753821496373,2018,1.18031245656499,1.11383005137574,1.25076307054362,"Autumn","Wild birds"
"spring","wild",-1.99433831475517,0.276742797264179,0.0347721247701002,Inf,0.20859068504885,0.344894909479509,2018,1.31882712146516,1.23194064359294,1.41184154070882,"Spring","Wild birds"
"autumn","captive",-0.994338314755169,0.182664232578524,0.0260715078263736,Inf,0.131565016216177,0.23376344894087,2019,1.20041128140555,1.14061206359218,1.2633456111165,"Autumn","Poultry"
"spring","captive",-0.994338314755169,-0.0271031882578246,0.0424073151440517,Inf,-0.110219998621206,0.0560136221055568,2019,0.973260807255498,0.895637074699258,1.05761209054202,"Spring","Poultry"
"autumn","wild",-0.994338314755169,0.191583222461344,0.0264196268336828,Inf,0.139801705382338,0.24336473954035,2019,1.21116562513027,1.1500457283674,1.27553377688698,"Autumn","Wild birds"
"spring","wild",-0.994338314755169,0.302546822600469,0.0321523377655287,Inf,0.239529398561266,0.365564246639672,2019,1.35330104001165,1.27065103938924,1.44132704269215,"Spring","Wild birds"
"autumn","captive",0.00566168524483146,0.20262727367163,0.0233245482879621,Inf,0.156911999071559,0.248342548271701,2020,1.22461593657039,1.1698926577308,1.28189896927045,"Autumn","Poultry"
"spring","captive",0.00566168524483146,-0.00714014716471857,0.0402642293968375,Inf,-0.086056586647779,0.0717762923183418,2020,0.992885283124716,0.917542309107648,1.07441496229684,"Spring","Poultry"
"autumn","wild",0.00566168524483146,0.217387247797633,0.0243266527352438,Inf,0.169707884572143,0.265066611023124,2020,1.24282529031874,1.18495865605353,1.30351780154098,"Autumn","Wild birds"
"spring","wild",0.00566168524483146,0.328350847936759,0.0304824628732922,Inf,0.268606318545027,0.38809537732849,2020,1.38867610097522,1.30814004918419,1.4741703800158,"Spring","Wild birds"
"autumn","captive",1.00566168524483,0.222590314764736,0.0220008361849207,Inf,0.179469468212526,0.265711161316946,2021,1.24930864557206,1.19658236971115,1.30435825515118,"Autumn","Poultry"
"spring","captive",1.00566168524483,0.0128228939283874,0.0389836782207222,Inf,-0.0635837113691265,0.0892294992259014,2021,1.0129054597663,0.938395561635378,1.09333154627923,"Spring","Poultry"
"autumn","wild",1.00566168524483,0.243191273133923,0.0235862447380461,Inf,0.196963082916805,0.28941946335104,2021,1.2753125338161,1.21769908597765,1.33565186804969,"Autumn","Wild birds"
"spring","wild",1.00566168524483,0.354154873273048,0.0299219621369723,Inf,0.295508905137811,0.412800841408285,2021,1.42497586006669,1.34381005654486,1.51104405855815,"Spring","Wild birds"
"autumn","captive",2.00566168524483,0.242553355857842,0.022354646951705,Inf,0.198739052945392,0.286367658770292,2022,1.27449924935007,1.21986360454932,1.33158193304242,"Autumn","Poultry"
"spring","captive",2.00566168524483,0.0327859350214934,0.0386514860492308,Inf,-0.0429695855839513,0.108541455626938,2022,1.03332931594626,0.957940524825642,1.11465111614139,"Spring","Poultry"
"autumn","wild",2.00566168524483,0.268995298470212,0.0243222409464391,Inf,0.221324582191886,0.316666014748538,2022,1.3086489883798,1.24772835524926,1.37254408588427,"Autumn","Wild birds"
"spring","wild",2.00566168524483,0.379958898609338,0.0305319938704131,Inf,0.32011729024713,0.439800506971545,2022,1.46222448873917,1.37728929746471,1.55239749514086,"Spring","Wild birds"
"autumn","captive",3.00566168524483,0.262516396950948,0.0243128545287561,Inf,0.214864077713224,0.310168716188671,2023,1.30019778727305,1.23969338355436,1.36365516542712,"Autumn","Poultry"
