"Host","model","term","estimate","std.error","statistic","conf.low","conf.high"
"Wild birds","Basic","(Intercept)",5.27965178525117,0.514488979022994,10.2619336866596,4.27127191592332,6.28803165457902
"Wild birds","Basic","year_c",-0.33444909073464,0.0429995382796458,-7.7779693484047,-0.418726637114597,-0.250171544354682
"Wild birds","Basic","season2spring",-2.88007851397256,0.227554802347843,-12.6566369255088,-3.32607773108347,-2.43407929686166
"Wild birds","Basic","year_c:season2spring",0.469220788359792,0.0695038607604393,6.75100322810941,0.332995724482844,0.60544585223674
"Poultry","Basic","(Intercept)",5.91726637999862,0.641313277224136,9.22679537465831,4.66031545383196,7.17421730616527
"Poultry","Basic","year_c",-0.224997915886961,0.0745271482680627,-3.01900610872267,-0.371068442362841,-0.0789273894110817
"Poultry","Basic","season2spring",-3.48639658294435,0.370146048122412,-9.41897556553504,-4.21186950628411,-2.7609236596046
"Poultry","Basic","year_c:season2spring",0.147605908677678,0.119292543805836,1.23734396106035,-0.0862031808059271,0.381414998161282
"Wild birds","Regional","(Intercept)",4.35105633881801,0.961656287742931,4.52454415811103,2.46624464933538,6.23586802830064
"Wild birds","Regional","year_c",-0.424883814868673,0.0481675970362167,-8.82094688155624,-0.519290570281496,-0.33047705945585
"Wild birds","Regional","season2spring",-1.42949564835684,0.275451019654131,-5.18965458959557,-1.96936972638377,-0.889621570329909
"Wild birds","Regional","macro_regionNorthern",1.87874361933295,1.33925001111371,1.40283263299778,-0.746138168744791,4.50362540741068
"Wild birds","Regional","macro_regionEastern",5.51673893941481,1.48827406826289,3.70680310640227,2.59977536649465,8.43370251233497
"Wild birds","Regional","macro_regionSouthern",-1.18802068915772,1.37311816339079,-0.865199165543049,-3.87928283592145,1.50324145760602
"Wild birds","Regional","year_c:season2spring",0.462151221570243,0.0857585119968159,5.38898367998038,0.294067626688738,0.630234816451748
"Wild birds","Regional","year_c:macro_regionNorthern",0.38115614817099,0.127424214977626,2.99123795455924,0.131409276056554,0.630903020285426
"Wild birds","Regional","year_c:macro_regionEastern",0.298336067663306,0.153931669849796,1.9381071351621,-0.00336446132240442,0.600036596649016
"Wild birds","Regional","year_c:macro_regionSouthern",0.150288109320205,0.150780332846304,0.996735492508818,-0.145235912635514,0.445812131275923
"Wild birds","Regional","season2spring:macro_regionNorthern",-3.25116638827221,0.637925494028347,-5.09646725002613,-4.5014773813877,-2.00085539515673
"Wild birds","Regional","season2spring:macro_regionEastern",-6.97336840487866,0.682348114199638,-10.2196639219236,-8.31074613362878,-5.63599067612855
"Wild birds","Regional","season2spring:macro_regionSouthern",1.87186060381682,0.833414374917987,2.24601429991056,0.238398444779601,3.50532276285403
"Wild birds","Regional","year_c:season2spring:macro_regionNorthern",-0.567664716719864,0.201088387256362,-2.82296120857623,-0.961790713451576,-0.173538719988152
"Wild birds","Regional","year_c:season2spring:macro_regionEastern",0.00767425752979893,0.196065756923441,0.039141243479837,-0.376607564641729,0.391956079701327
"Wild birds","Regional","year_c:season2spring:macro_regionSouthern",-0.367371532589262,0.272468836066369,-1.34830660964021,-0.901400638188894,0.16665757301037
"Poultry","Regional","(Intercept)",3.97130080466077,1.20059204565303,3.30778537059246,1.61818363505556,6.32441797426597
"Poultry","Regional","year_c",-0.326676282247607,0.0917142246745101,-3.56189329852557,-0.506432859479661,-0.146919705015552
"Poultry","Regional","season2spring",-0.947821137935758,0.499863849665928,-1.89615860112551,-1.92753628045452,0.0318940045830037
"Poultry","Regional","macro_regionNorthern",5.47325983241212,1.90445497785985,2.87392450650777,1.7405966656288,9.20592299919545
"Poultry","Regional","macro_regionEastern",5.61706616329437,1.73271197384488,3.24177719556595,2.22101309897711,9.01311922761164
"Poultry","Regional","macro_regionSouthern",-0.991337655175118,1.77955649308325,-0.557070067192714,-4.47920429007269,2.49652897972245
"Poultry","Regional","year_c:season2spring",0.374619392234198,0.17283496902938,2.16749766750336,0.035869077667517,0.713369706800879
"Poultry","Regional","year_c:macro_regionNorthern",-0.147071755558767,0.306587515149253,-0.479705624957264,-0.747972243360931,0.453828732243397
"Poultry","Regional","year_c:macro_regionEastern",0.0144142137340128,0.173664745709522,0.0830002294082331,-0.325962433240957,0.354790860708982
"Poultry","Regional","year_c:macro_regionSouthern",0.736524717182634,0.210130035878691,3.50509014145808,0.32467741479029,1.14837201957498
"Poultry","Regional","season2spring:macro_regionNorthern",-6.68393673860253,1.52290975679626,-4.38892502249345,-9.66878501362785,-3.69908846357721
"Poultry","Regional","season2spring:macro_regionEastern",-7.12503989586287,0.805390121371697,-8.84669392732045,-8.70357552725574,-5.54650426447
"Poultry","Regional","season2spring:macro_regionSouthern",0.0264832421666963,1.11859815559149,0.0236753851544592,-2.16592885596556,2.21889534029896
"Poultry","Regional","year_c:season2spring:macro_regionNorthern",0.141183817034214,0.490583265771021,0.287787674152161,-0.820341715295029,1.10270934936346
"Poultry","Regional","year_c:season2spring:macro_regionEastern",-0.201006480323897,0.260411256773602,-0.771880919489779,-0.711403164768968,0.309390204121175
"Poultry","Regional","year_c:season2spring:macro_regionSouthern",-0.968485172588521,0.377347788511495,-2.56655849609947,-1.70807324771689,-0.228897097460155
