"season2","macro_region","year_c.trend","SE","df","lower.CL","upper.CL","Host"
"autumn","Western",-0.424883814868664,0.0482963858669352,2695.52847295775,-0.519585515032437,-0.330182114704892,"Wild birds"
"spring","Western",0.0372674067015688,0.0707625934293627,2779.71678669193,-0.101485144077791,0.176019957480928,"Wild birds"
"autumn","Northern",-0.0437276666976825,0.118371476767439,2524.50834093255,-0.275842783643769,0.188387450248404,"Wild birds"
"spring","Northern",-0.149241161847301,0.140006247359334,2629.03052455382,-0.423774754276742,0.125292430582139,"Wild birds"
"autumn","Eastern",-0.126547747205365,0.146705406808972,2806.74347351012,-0.414209109486099,0.161113615075369,"Wild birds"
"spring","Eastern",0.343277731894667,0.102582121519754,2713.69035601691,0.142130753031165,0.544424710758169,"Wild birds"
"autumn","Southern",-0.274595705548463,0.143659111151942,2701.10822998872,-0.556288614885149,0.00709720378822398,"Wild birds"
"spring","Southern",-0.179816016567484,0.225672205898904,2787.85741313644,-0.622317525649411,0.262685492514444,"Wild birds"
"autumn","Western",-0.326676282247607,0.0923280018776732,1189.91543617665,-0.50782009431765,-0.145532470177564,"Poultry"
"spring","Western",0.0479431099865917,0.147695198516348,1190.42572029518,-0.241828780043861,0.337715000017045,"Poultry"
"autumn","Northern",-0.473748037806374,0.295115050823054,1176.9469906074,-1.05275834863402,0.105262273021271,"Poultry"
"spring","Northern",0.0420551714620383,0.369493428439254,1208.47684581911,-0.682864680580264,0.766975023504341,"Poultry"
"autumn","Eastern",-0.312262068513594,0.148393176012514,1121.29815584969,-0.603421630040048,-0.0211025069871397,"Poultry"
"spring","Eastern",-0.138649156603292,0.128979153820419,1138.43398896214,-0.391712701004305,0.114414387797721,"Poultry"
"autumn","Southern",0.409848434935028,0.190445722739188,1169.86984664882,0.036195096963002,0.783501772907054,"Poultry"
"spring","Southern",-0.184017345419295,0.282038297874627,1199.53469155319,-0.737360580907121,0.36932589006853,"Poultry"
